Team Irving,Justin,Mike,Rick,Stephen,Jake
Brussels from Mussels,Storm Legion - Cal / Wolfe,Brineblood Marauders - Rage / Shadow,Exalted - Zaal / Xek,Winter Korps - Ekat / Sav,Sea Raiders - Hor / Ori
0,Storm Legion - Cal / Wolfe,Brineblood Marauders - Rage / Shadow,Exalted - Zaal / Xek,Winter Korps - Ekat / Sav,Sea Raiders - Hor / Ori
Justin,3,2,3,2,3
Mike,3,4,3,3,3
Rick,3,3,3,3,3
Stephen,3,3,2,3,3
Jake,3,4,3,3,3
1,Storm Legion - Cal / Wolfe,Brineblood Marauders - Rage / Shadow,Exalted - Zaal / Xek,Winter Korps - Ekat / Sav,Sea Raiders - Hor / Ori
Justin,3,2,3,2,3
Mike,3,4,3,3,3
Rick,3,3,3,3,3
Stephen,3,3,2,3,3
Jake,3,4,3,3,3
2,Storm Legion - Cal / Wolfe,Brineblood Marauders - Rage / Shadow,Exalted - Zaal / Xek,Winter Korps - Ekat / Sav,Sea Raiders - Hor / Ori
Justin,3,2,3,2,3
Mike,3,4,3,3,3
Rick,3,3,3,3,3
Stephen,3,3,2,3,3
Jake,3,4,3,3,3
3,Storm Legion - Cal / Wolfe,Brineblood Marauders - Rage / Shadow,Exalted - Zaal / Xek,Winter Korps - Ekat / Sav,Sea Raiders - Hor / Ori
Justin,3,2,3,2,3
Mike,3,4,3,3,3
Rick,3,3,3,3,3
Stephen,3,3,2,3,3
Jake,3,4,3,3,3
4,Storm Legion - Cal / Wolfe,Brineblood Marauders - Rage / Shadow,Exalted - Zaal / Xek,Winter Korps - Ekat / Sav,Sea Raiders - Hor / Ori
Justin,3,2,3,2,3
Mike,3,4,3,3,3
Rick,3,3,3,3,3
Stephen,3,3,2,3,3
Jake,3,4,3,3,3
5,Storm Legion - Cal / Wolfe,Brineblood Marauders - Rage / Shadow,Exalted - Zaal / Xek,Winter Korps - Ekat / Sav,Sea Raiders - Hor / Ori
Justin,3,2,3,2,3
Mike,3,4,3,3,3
Rick,3,3,3,3,3
Stephen,3,3,2,3,3
Jake,3,4,3,3,3
6,Storm Legion - Cal / Wolfe,Brineblood Marauders - Rage / Shadow,Exalted - Zaal / Xek,Winter Korps - Ekat / Sav,Sea Raiders - Hor / Ori
Justin,3,2,3,2,3
Mike,3,4,3,3,3
Rick,3,3,3,3,3
Stephen,3,3,2,3,3
Jake,3,4,3,3,3
