Team Irving,Justin,Mike,Rick,Stephen,Jake
Germany Fuchs,Winter Korps - Ekat | Sav,Sea Raiders - Hor | Sab,Dark Host - Denny 3 | Scav,Infernals - Omo | Zaat,House Kallyss - Mor | Scry
0,Winter Korps - Ekat | Sav,Sea Raiders - Hor | Sab,Dark Host - Denny 3 | Scav,Infernals - Omo | Zaat,House Kallyss - Mor | Scry
Justin,2,2,3,3,3
Mike,2,3,2,3,3
Rick,3,3,3,1,3
Stephen,3,3,4,2,3
Jake,1,2,4,3,3
1,Winter Korps - Ekat | Sav,Sea Raiders - Hor | Sab,Dark Host - Denny 3 | Scav,Infernals - Omo | Zaat,House Kallyss - Mor | Scry
Justin,2,2,3,3,3
Mike,2,3,2,3,3
Rick,3,3,3,1,3
Stephen,3,3,4,2,3
Jake,1,2,4,3,3
2,Winter Korps - Ekat | Sav,Sea Raiders - Hor | Sab,Dark Host - Denny 3 | Scav,Infernals - Omo | Zaat,House Kallyss - Mor | Scry
Justin,2,2,3,3,3
Mike,2,3,2,3,3
Rick,3,3,3,1,3
Stephen,3,3,4,2,3
Jake,1,2,4,3,3
3,Winter Korps - Ekat | Sav,Sea Raiders - Hor | Sab,Dark Host - Denny 3 | Scav,Infernals - Omo | Zaat,House Kallyss - Mor | Scry
Justin,2,2,3,3,3
Mike,2,3,2,3,3
Rick,3,3,3,1,3
Stephen,3,3,4,2,3
Jake,1,2,4,3,3
4,Winter Korps - Ekat | Sav,Sea Raiders - Hor | Sab,Dark Host - Denny 3 | Scav,Infernals - Omo | Zaat,House Kallyss - Mor | Scry
Justin,2,2,3,3,3
Mike,2,3,2,3,3
Rick,3,3,3,1,3
Stephen,3,3,4,2,3
Jake,1,2,4,3,3
5,Winter Korps - Ekat | Sav,Sea Raiders - Hor | Sab,Dark Host - Denny 3 | Scav,Infernals - Omo | Zaat,House Kallyss - Mor | Scry
Justin,2,2,3,3,3
Mike,2,3,2,3,3
Rick,3,3,3,1,3
Stephen,3,3,4,2,3
Jake,1,2,4,3,3
6,Winter Korps - Ekat | Sav,Sea Raiders - Hor | Sab,Dark Host - Denny 3 | Scav,Infernals - Omo | Zaat,House Kallyss - Mor | Scry
Justin,2,2,3,3,3
Mike,2,3,2,3,3
Rick,3,3,3,1,3
Stephen,3,3,4,2,3
Jake,1,2,4,3,3
