Team Irving,Justin,Mike,Rick,Stephen,Jake
Team Poland,Winter Korps - Ekat / Sav,Sea Raiders - Hor / Kish,House Kallyss - Mor / Scry,Sea Raiders - Ori / Sab,Brineblood Marauders - Boomy / Shadow
0,Winter Korps - Ekat / Sav,Sea Raiders - Hor / Kish,House Kallyss - Mor / Scry,Sea Raiders - Ori / Sab,Brineblood Marauders - Boomy / Shadow
Justin,2,3,3,3,2
Mike,2,3,3,3,3
Rick,2,2,3,3,3
sucker,3,3,3,3,4
Jake,1,3,3,2,4
1,Winter Korps - Ekat / Sav,Sea Raiders - Hor / Kish,House Kallyss - Mor / Scry,Sea Raiders - Ori / Sab,Brineblood Marauders - Boomy / Shadow
Justin,2,3,3,3,2
Mike,2,3,3,3,3
Rick,2,2,3,3,3
Stephen,3,3,3,3,4
Jake,1,3,3,2,4
2,Winter Korps - Ekat / Sav,Sea Raiders - Hor / Kish,House Kallyss - Mor / Scry,Sea Raiders - Ori / Sab,Brineblood Marauders - Boomy / Shadow
Justin,2,3,3,3,2
Mike,2,3,3,3,3
Rick,2,2,3,3,3
Stephen,3,3,3,3,4
Jake,1,3,3,2,4
3,Winter Korps - Ekat / Sav,Sea Raiders - Hor / Kish,House Kallyss - Mor / Scry,Sea Raiders - Ori / Sab,Brineblood Marauders - Boomy / Shadow
Justin,2,3,3,3,2
Mike,2,3,3,3,3
Rick,2,2,3,3,3
Stephen,3,3,3,3,4
Jake,1,3,3,2,4
4,Winter Korps - Ekat / Sav,Sea Raiders - Hor / Kish,House Kallyss - Mor / Scry,Sea Raiders - Ori / Sab,Brineblood Marauders - Boomy / Shadow
Justin,2,3,3,3,2
Mike,2,3,3,3,3
Rick,2,2,3,3,3
Stephen,3,3,3,3,4
Jake,1,3,3,2,4
5,Winter Korps - Ekat / Sav,Sea Raiders - Hor / Kish,House Kallyss - Mor / Scry,Sea Raiders - Ori / Sab,Brineblood Marauders - Boomy / Shadow
Justin,2,3,3,3,2
Mike,2,3,3,3,3
Rick,2,2,3,3,3
Stephen,3,3,3,3,4
Jake,1,3,3,2,4
6,Winter Korps - Ekat / Sav,Sea Raiders - Hor / Kish,House Kallyss - Mor / Scry,Sea Raiders - Ori / Sab,Brineblood Marauders - Boomy / Shadow
Justin,2,3,3,3,2
Mike,2,3,3,3,3
Rick,2,2,3,3,3
Stephen,3,3,3,3,4
Jake,1,3,3,2,4
