Team Irving,Justin,Mike,Rick,Stephen,Jake
Germany Rackelhahn,Dark Host - Denny 3 / Scav,Brineblood Marauders - Rage / Boomy,Storm Legion - Spark / Wolfe,Dark Operations - Thex / Gaspy,House Kallyss - Mor / Scry
0,Dark Host - Denny 3 / Scav,Brineblood Marauders - Rage / Boomy,Storm Legion - Spark / Wolfe,Dark Operations - Thex / Gaspy,House Kallyss - Mor / Scry
Justin,3,3,3,3,3
Mike,2,3,3,3,3
Rick,3,3,3,3,3
Stephen,4,3,3,2,3
Jake,4,4,3,3,3
1,Dark Host - Denny 3 / Scav,Brineblood Marauders - Rage / Boomy,Storm Legion - Spark / Wolfe,Dark Operations - Thex / Gaspy,House Kallyss - Mor / Scry
Justin,3,3,3,3,3
Mike,2,3,3,3,3
Rick,3,3,3,3,3
Stephen,4,3,3,2,3
Jake,4,4,3,3,3
2,Dark Host - Denny 3 / Scav,Brineblood Marauders - Rage / Boomy,Storm Legion - Spark / Wolfe,Dark Operations - Thex / Gaspy,House Kallyss - Mor / Scry
Justin,3,3,3,3,3
Mike,2,3,3,3,3
Rick,3,3,3,3,3
Stephen,4,3,3,2,3
Jake,4,4,3,3,3
3,Dark Host - Denny 3 / Scav,Brineblood Marauders - Rage / Boomy,Storm Legion - Spark / Wolfe,Dark Operations - Thex / Gaspy,House Kallyss - Mor / Scry
Justin,3,3,3,3,3
Mike,2,3,3,3,3
Rick,3,3,3,3,3
Stephen,4,3,3,2,3
Jake,4,4,3,3,3
4,Dark Host - Denny 3 / Scav,Brineblood Marauders - Rage / Boomy,Storm Legion - Spark / Wolfe,Dark Operations - Thex / Gaspy,House Kallyss - Mor / Scry
Justin,3,3,3,3,3
Mike,2,3,3,3,3
Rick,3,3,3,3,3
Stephen,4,3,3,2,3
Jake,4,4,3,3,3
5,Dark Host - Denny 3 / Scav,Brineblood Marauders - Rage / Boomy,Storm Legion - Spark / Wolfe,Dark Operations - Thex / Gaspy,House Kallyss - Mor / Scry
Justin,3,3,3,3,3
Mike,2,3,3,3,3
Rick,3,3,3,3,3
Stephen,4,3,3,2,3
Jake,4,4,3,3,3
6,Dark Host - Denny 3 / Scav,Brineblood Marauders - Rage / Boomy,Storm Legion - Spark / Wolfe,Dark Operations - Thex / Gaspy,House Kallyss - Mor / Scry
Justin,3,3,3,3,3
Mike,2,3,3,3,3
Rick,3,3,3,3,3
Stephen,4,3,3,2,3
Jake,4,4,3,3,3
