Team Irving,Justin,Mike,Rick,Stephen,Jake
Sweden Utgard,Secret Dominion,Dusk,Brinebloods,Brinebloods2,Infernals
0,Secret Dominion,Dusk,Brinebloods,Brinebloods2,Infernals
Justin,3,3,3,3,3
Mike,3,3,3,3,3
Rick,2,3,3,3,3
Stephen,3,3,4,4,1
Jake,3,3,4,4,3
1,Secret Dominion,Dusk,Brinebloods,Brinebloods2,Infernals
Justin,3,3,3,3,3
Mike,3,3,3,3,3
Rick,2,3,3,3,3
Stephen,3,3,4,4,1
Jake,3,3,4,4,3
2,Secret Dominion,Dusk,Brinebloods,Brinebloods2,Infernals
Justin,3,3,3,3,3
Mike,3,3,3,3,3
Rick,2,3,3,3,3
Stephen,3,3,4,4,1
Jake,3,3,4,4,3
3,Secret Dominion,Dusk,Brinebloods,Brinebloods2,Infernals
Justin,3,3,3,3,3
Mike,3,3,3,3,3
Rick,2,3,3,3,3
Stephen,3,3,4,4,1
Jake,3,3,4,4,3
4,Secret Dominion,Dusk,Brinebloods,Brinebloods2,Infernals
Justin,3,3,3,3,3
Mike,3,3,3,3,3
Rick,2,3,3,3,3
Stephen,3,3,4,4,1
Jake,3,3,4,4,3
5,Secret Dominion,Dusk,Brinebloods,Brinebloods2,Infernals
Justin,3,3,3,3,3
Mike,3,3,3,3,3
Rick,2,3,3,3,3
Stephen,3,3,4,4,1
Jake,3,3,4,4,3
6,Secret Dominion,Dusk,Brinebloods,Brinebloods2,Infernals
Justin,3,3,3,3,3
Mike,3,3,3,3,3
Rick,2,3,3,3,3
Stephen,3,3,4,4,1
Jake,3,3,4,4,3
