Team Irving,Justin,Mike,Rick,Stephen,Jake
Australia Thorny Devils,House Kallyss - Scy / Hel,Sea Raiders - Hor / Sab,Exalted - Zaal / Xek,Winter Korps - Ekat / Sav,Infernals - Omo / Zaat
0,House Kallyss - Scy / Hel,Sea Raiders - Hor / Sab,Exalted - Zaal / Xek,Winter Korps - Ekat / Sav,Infernals - Omo / Zaat
Justin,3,3,3,2,3
Mike,3,3,2,2,3
Rick,3,3,3,3,3
Stephen,3,3,2,3,2
Jake,3,2,3,1,3
1,House Kallyss - Scy / Hel,Sea Raiders - Hor / Sab,Exalted - Zaal / Xek,Winter Korps - Ekat / Sav,Infernals - Omo / Zaat
Justin,3,3,3,2,3
Mike,3,3,2,2,3
Rick,3,3,3,3,3
Stephen,3,3,2,3,2
Jake,3,2,3,1,3
2,House Kallyss - Scy / Hel,Sea Raiders - Hor / Sab,Exalted - Zaal / Xek,Winter Korps - Ekat / Sav,Infernals - Omo / Zaat
Justin,3,3,3,2,3
Mike,3,3,2,2,3
Rick,3,3,3,3,3
Stephen,3,3,2,3,2
Jake,3,2,3,1,3
3,House Kallyss - Scy / Hel,Sea Raiders - Hor / Sab,Exalted - Zaal / Xek,Winter Korps - Ekat / Sav,Infernals - Omo / Zaat
Justin,3,3,3,2,3
Mike,3,3,2,2,3
Rick,3,3,3,3,3
Stephen,3,3,2,3,2
Jake,3,2,3,1,3
4,House Kallyss - Scy / Hel,Sea Raiders - Hor / Sab,Exalted - Zaal / Xek,Winter Korps - Ekat / Sav,Infernals - Omo / Zaat
Justin,3,3,3,2,3
Mike,3,3,2,2,3
Rick,3,3,3,3,3
Stephen,3,3,2,3,2
Jake,3,2,3,1,3
5,House Kallyss - Scy / Hel,Sea Raiders - Hor / Sab,Exalted - Zaal / Xek,Winter Korps - Ekat / Sav,Infernals - Omo / Zaat
Justin,3,3,3,2,3
Mike,3,3,2,2,3
Rick,3,3,3,3,3
Stephen,3,3,2,3,2
Jake,3,2,3,1,3
6,House Kallyss - Scy / Hel,Sea Raiders - Hor / Sab,Exalted - Zaal / Xek,Winter Korps - Ekat / Sav,Infernals - Omo / Zaat
Justin,3,3,3,2,3
Mike,3,3,2,2,3
Rick,3,3,3,3,3
Stephen,3,3,2,3,2
Jake,3,2,3,1,3
